reg,dep,com,insee,name,pop,half
Occitanie,31,555,31555,Toulouse,471 941,oui
Provence-Alpes-Côte d'Azur,06,088,06088,Nice,342 522,oui
Pays de la Loire,44,109,44109,Nantes,303 382,oui
Occitanie,34,172,34172,Montpellier,277 639,oui
Grand Est,67,482,67482,Strasbourg,277 270,oui
Nouvelle-Aquitaine,33,063,33063,Bordeaux,249 712,oui
Île-de-France,75,115,75115,Paris 15e Arrondissement,234 994,oui
Hauts-de-France,59,350,59350,Lille,232 741,oui
Bretagne,35,238,35238,Rennes,215 366,oui
Île-de-France,75,118,75118,Paris 18e Arrondissement,197 580,oui
Île-de-France,75,120,75120,Paris 20e Arrondissement,195 556,oui
Île-de-France,75,119,75119,Paris 19e Arrondissement,185 654,oui
Grand Est,51,454,51454,Reims,184 076,oui
Île-de-France,75,113,75113,Paris 13e Arrondissement,183 216,oui
Normandie,76,351,76351,Le Havre,172 366,oui
Auvergne-Rhône-Alpes,42,218,42218,Saint-Étienne,171 057,oui
Île-de-France,75,117,75117,Paris 17e Arrondissement,168 533,oui
Provence-Alpes-Côte d'Azur,83,137,83137,Toulon,167 479,oui
Île-de-France,75,116,75116,Paris 16e Arrondissement,165 487,oui
Auvergne-Rhône-Alpes,38,185,38185,Grenoble,160 649,oui
Bourgogne-Franche-Comté,21,231,21231,Dijon,155 114,oui
Pays de la Loire,49,007,49007,Angers,151 520,oui
Occitanie,30,189,30189,Nîmes,150 672,oui
Île-de-France,75,111,75111,Paris 11e Arrondissement,149 834,oui
Auvergne-Rhône-Alpes,69,266,69266,Villeurbanne,148 665,oui
La Réunion,974,411,974411,Saint-Denis,146 985,oui
Pays de la Loire,72,181,72181,Le Mans,143 325,oui
Provence-Alpes-Côte d'Azur,13,001,13001,Aix-en-Provence,142 668,oui
Île-de-France,75,112,75112,Paris 12e Arrondissement,142 340,oui
Auvergne-Rhône-Alpes,63,113,63113,Clermont-Ferrand,141 398,oui
Île-de-France,75,114,75114,Paris 14e Arrondissement,139 992,oui
Bretagne,29,019,29019,Brest,139 163,oui
Centre-Val de Loire,37,261,37261,Tours,136 252,oui
Nouvelle-Aquitaine,87,085,87085,Limoges,133 627,oui
Hauts-de-France,80,021,80021,Amiens,132 874,oui
Auvergne-Rhône-Alpes,74,010,74010,Annecy,125 694,oui
Occitanie,66,136,66136,Perpignan,121 934,oui
Île-de-France,92,012,92012,Boulogne-Billancourt,117 931,oui
Grand Est,57,463,57463,Metz,117 492,oui
Bourgogne-Franche-Comté,25,056,25056,Besançon,116 676,oui
Centre-Val de Loire,45,234,45234,Orléans,114 644,oui
Île-de-France,93,066,93066,Saint-Denis,111 103,oui
Île-de-France,95,018,95018,Argenteuil,110 388,oui
Grand Est,68,224,68224,Mulhouse,110 370,oui
Normandie,76,540,76540,Rouen,110 169,oui
Île-de-France,93,048,93048,Montreuil,106 691,oui
Normandie,14,118,14118,Caen,106 260,oui
La Réunion,974,415,974415,Saint-Paul,105 967,oui
Grand Est,54,395,54395,Nancy,105 162,oui
Auvergne-Rhône-Alpes,69,383,69383,Lyon 3e Arrondissement,101 882,oui
Hauts-de-France,59,599,59599,Tourcoing,96 809,oui
Hauts-de-France,59,512,59512,Roubaix,96 077,oui
Île-de-France,92,050,92050,Nanterre,93 742,oui
Île-de-France,94,081,94081,Vitry-sur-Seine,92 531,oui
Provence-Alpes-Côte d'Azur,84,007,84007,Avignon,92 130,oui
Provence-Alpes-Côte d'Azur,13,213,13213,Marseille 13e Arrondissement,91 906,oui
Île-de-France,75,110,75110,Paris 10e Arrondissement,91 770,oui
Île-de-France,94,028,94028,Créteil,90 739,oui
Hauts-de-France,59,183,59183,Dunkerque,88 876,oui
Nouvelle-Aquitaine,86,194,86194,Poitiers,87 918,oui
Île-de-France,92,004,92004,Asnières-sur-Seine,86 512,oui
Île-de-France,78,646,78646,Versailles,85 771,oui
Auvergne-Rhône-Alpes,69,388,69388,Lyon 8e Arrondissement,85 229,oui
Île-de-France,92,025,92025,Colombes,85 199,oui
La Réunion,974,416,974416,Saint-Pierre,84 063,oui
Île-de-France,93,001,93001,Aubervilliers,83 782,oui
Île-de-France,93,005,93005,Aulnay-sous-Bois,83 584,oui
Île-de-France,92,026,92026,Courbevoie,83 136,oui
Martinique,972,209,972209,Fort-de-France,82 502,oui
Auvergne-Rhône-Alpes,69,387,69387,Lyon 7e Arrondissement,81 480,oui
Normandie,50,129,50129,Cherbourg-en-Cotentin,80 616,oui
Provence-Alpes-Côte d'Azur,13,208,13208,Marseille 8e Arrondissement,79 924,oui
Île-de-France,92,063,92063,Rueil-Malmaison,78 794,oui
Provence-Alpes-Côte d'Azur,13,215,13215,Marseille 15e Arrondissement,77 923,oui
Nouvelle-Aquitaine,64,445,64445,Pau,77 215,oui
Île-de-France,94,017,94017,Champigny-sur-Marne,76 508,oui
La Réunion,974,422,974422,Le Tampon,76 310,oui
Occitanie,34,032,34032,Béziers,75 999,oui
Hauts-de-France,62,193,62193,Calais,75 961,oui
Nouvelle-Aquitaine,17,300,17300,La Rochelle,75 404,oui
Île-de-France,94,068,94068,Saint-Maur-des-Fossés,75 168,oui
Provence-Alpes-Côte d'Azur,06,004,06004,Antibes,74 875,oui
Provence-Alpes-Côte d'Azur,06,029,06029,Cannes,74 285,oui
Provence-Alpes-Côte d'Azur,13,209,13209,Marseille 9e Arrondissement,73 778,oui
Grand Est,68,066,68066,Colmar,70 284,oui
Nouvelle-Aquitaine,33,281,33281,Mérignac,70 127,oui
Pays de la Loire,44,184,44184,Saint-Nazaire,69 784,oui
Île-de-France,93,029,93029,Drancy,69 568,oui
Île-de-France,92,040,92040,Issy-les-Moulineaux,69 093,oui
Corse,2A,004,2A004,Ajaccio,68 462,oui
Île-de-France,93,051,93051,Noisy-le-Grand,66 213,oui
Centre-Val de Loire,18,033,18033,Bourges,66 071,oui
Provence-Alpes-Côte d'Azur,83,126,83126,La Seyne-sur-Mer,64 903,oui
Auvergne-Rhône-Alpes,69,259,69259,Vénissieux,64 273,oui
Île-de-France,92,044,92044,Levallois-Perret,64 195,oui
Bretagne,29,232,29232,Quimper,63 508,oui
Île-de-France,95,127,95127,Cergy,63 395,oui
Auvergne-Rhône-Alpes,26,362,26362,Valence,62 479,oui
Provence-Alpes-Côte d'Azur,13,214,13214,Marseille 14e Arrondissement,62 181,oui
Hauts-de-France,59,009,59009,Villeneuve-d'Ascq,61 920,oui
Île-de-France,92,002,92002,Antony,61 711,oui
Nouvelle-Aquitaine,33,318,33318,Pessac,61 332,oui
Provence-Alpes-Côte d'Azur,13,212,13212,Marseille 12e Arrondissement,61 040,oui
Grand Est,10,387,10387,Troyes,60 928,oui
Île-de-France,92,051,92051,Neuilly-sur-Seine,60 910,oui
Île-de-France,92,024,92024,Clichy,60 435,oui
Occitanie,82,121,82121,Montauban,59 982,oui
Auvergne-Rhône-Alpes,73,065,73065,Chambéry,59 697,oui
Île-de-France,94,041,94041,Ivry-sur-Seine,59 572,oui
Île-de-France,75,109,75109,Paris 9e Arrondissement,59 408,oui
Île-de-France,75,105,75105,Paris 5e Arrondissement,59 333,oui
Nouvelle-Aquitaine,79,191,79191,Niort,58 952,oui
Guyane,973,302,973302,Cayenne,57 614,oui
Bretagne,56,121,56121,Lorient,57 567,oui
Île-de-France,95,585,95585,Sarcelles,57 412,oui
Provence-Alpes-Côte d'Azur,13,211,13211,Marseille 11e Arrondissement,57 313,oui
Île-de-France,94,076,94076,Villejuif,56 661,oui
Provence-Alpes-Côte d'Azur,83,069,83069,Hyères,56 478,oui
Provence-Alpes-Côte d'Azur,13,210,13210,Marseille 10e Arrondissement,55 730,oui
La Réunion,974,409,974409,Saint-André,55 730,oui
Hauts-de-France,02,691,02691,Saint-Quentin,55 649,oui
Guadeloupe,971,101,971101,Les Abymes,55 306,oui
Île-de-France,93,007,93007,Le Blanc-Mesnil,55 297,oui
Île-de-France,93,055,93055,Pantin,55 180,oui
Île-de-France,94,046,94046,Maisons-Alfort,54 915,oui
Hauts-de-France,60,057,60057,Beauvais,54 881,oui
Île-de-France,93,031,93031,Épinay-sur-Seine,54 840,oui
Île-de-France,75,107,75107,Paris 7e Arrondissement,54 133,oui
Île-de-France,91,228,91228,Évry,53 871,oui
Île-de-France,77,108,77108,Chelles,53 833,oui
Pays de la Loire,49,099,49099,Cholet,53 800,oui
Île-de-France,77,284,77284,Meaux,53 720,oui
Île-de-France,94,033,94033,Fontenay-sous-Bois,53 649,oui
Pays de la Loire,85,191,85191,La Roche-sur-Yon,53 578,oui
La Réunion,974,414,974414,Saint-Louis,53 524,oui
Occitanie,11,262,11262,Narbonne,53 462,oui
Île-de-France,93,010,93010,Bondy,53 439,oui
Bretagne,56,260,56260,Vannes,53 200,oui
Provence-Alpes-Côte d'Azur,83,061,83061,Fréjus,52 897,oui
Provence-Alpes-Côte d'Azur,13,004,13004,Arles,52 886,oui
Île-de-France,92,023,92023,Clamart,52 645,oui
Île-de-France,78,586,78586,Sartrouville,52 538,oui
Île-de-France,93,008,93008,Bobigny,51 716,oui
Provence-Alpes-Côte d'Azur,06,069,06069,Grasse,50 937,oui
Auvergne-Rhône-Alpes,69,386,69386,Lyon 6e Arrondissement,50 596,oui
Île-de-France,93,071,93071,Sevran,50 480,oui
Île-de-France,91,174,91174,Corbeil-Essonnes,50 412,oui
Pays de la Loire,53,130,53130,Laval,49 848,oui
Auvergne-Rhône-Alpes,69,389,69389,Lyon 9e Arrondissement,49 774,oui
Bourgogne-Franche-Comté,90,010,90010,Belfort,49 519,oui
Occitanie,81,004,81004,Albi,49 475,oui
Île-de-France,94,080,94080,Vincennes,49 461,oui
Normandie,27,229,27229,Évreux,49 426,oui
Provence-Alpes-Côte d'Azur,13,056,13056,Martigues,49 403,oui
Provence-Alpes-Côte d'Azur,06,027,06027,Cagnes-sur-Mer,49 322,oui
Nouvelle-Aquitaine,64,102,64102,Bayonne,49 207,oui
Île-de-France,92,049,92049,Montrouge,48 991,oui
Île-de-France,92,073,92073,Suresnes,48 565,oui
Île-de-France,93,070,93070,Saint-Ouen,48 431,oui
Île-de-France,91,377,91377,Massy,48 363,oui
Auvergne-Rhône-Alpes,69,385,69385,Lyon 5e Arrondissement,48 182,oui
Provence-Alpes-Côte d'Azur,13,204,13204,Marseille 4e Arrondissement,48 132,oui
Grand Est,08,105,08105,Charleville-Mézières,47 847,oui
Provence-Alpes-Côte d'Azur,13,203,13203,Marseille 3e Arrondissement,47 694,oui
Nouvelle-Aquitaine,19,031,19031,Brive-la-Gaillarde,47 349,oui
Auvergne-Rhône-Alpes,69,256,69256,Vaulx-en-Velin,47 313,oui
Provence-Alpes-Côte d'Azur,13,205,13205,Marseille 5e Arrondissement,46 781,oui
Occitanie,11,069,11069,Carcassonne,45 996,oui
Pays de la Loire,44,162,44162,Saint-Herblain,45 786,oui
Bretagne,35,288,35288,Saint-Malo,45 719,oui
Centre-Val de Loire,41,018,41018,Blois,45 710,oui
Provence-Alpes-Côte d'Azur,13,005,13005,Aubagne,45 410,oui
Bourgogne-Franche-Comté,71,076,71076,Chalon-sur-Saône,45 390,oui
Île-de-France,92,048,92048,Meudon,45 317,oui
Grand Est,51,108,51108,Châlons-en-Champagne,45 268,oui
Île-de-France,92,062,92062,Puteaux,45 146,oui
Bretagne,22,278,22278,Saint-Brieuc,45 105,oui
Auvergne-Rhône-Alpes,69,290,69290,Saint-Priest,45 097,oui
Provence-Alpes-Côte d'Azur,13,103,13103,Salon-de-Provence,44 836,oui
Île-de-France,78,361,78361,Mantes-la-Jolie,44 799,oui
Île-de-France,93,064,93064,Rosny-sous-Bois,44 728,oui
Île-de-France,92,036,92036,Gennevilliers,44 551,oui
Île-de-France,93,046,93046,Livry-Gargan,44 415,oui
Île-de-France,94,002,94002,Alfortville,44 410,oui
Corse,2B,033,2B033,Bastia,44 355,oui
Hauts-de-France,59,606,59606,Valenciennes,44 043,oui
Île-de-France,94,022,94022,Choisy-le-Roi,43 846,oui
Centre-Val de Loire,36,044,36044,Châteauroux,43 732,oui
Occitanie,34,301,34301,Sète,43 620,oui
Guyane,973,311,973311,Saint-Laurent-du-Maroni,43 600,oui
Île-de-France,93,053,93053,Noisy-le-Sec,43 390,oui
Provence-Alpes-Côte d'Azur,13,047,13047,Istres,43 086,oui
Provence-Alpes-Côte d'Azur,13,206,13206,Marseille 6e Arrondissement,42 889,oui
Île-de-France,95,268,95268,Garges-lès-Gonesse,42 501,oui
Île-de-France,75,106,75106,Paris 6e Arrondissement,42 428,oui
Hauts-de-France,62,160,62160,Boulogne-sur-Mer,42 366,oui
Auvergne-Rhône-Alpes,69,034,69034,Caluire-et-Cuire,42 292,oui
Nouvelle-Aquitaine,33,522,33522,Talence,42 171,oui
Nouvelle-Aquitaine,16,015,16015,Angoulême,42 081,oui
Île-de-France,93,027,93027,La Courneuve,41 733,oui
Provence-Alpes-Côte d'Azur,06,030,06030,Le Cannet,41 571,oui
Occitanie,81,065,81065,Castres,41 483,oui
Hauts-de-France,59,650,59650,Wattrelos,41 264,oui
Auvergne-Rhône-Alpes,01,053,01053,Bourg-en-Bresse,40 819,oui
Provence-Alpes-Côte d'Azur,05,061,05061,Gap,40 776,oui
Hauts-de-France,62,041,62041,Arras,40 721,oui
Auvergne-Rhône-Alpes,69,029,69029,Bron,40 694,oui
Grand Est,57,672,57672,Thionville,40 665,oui
Occitanie,65,440,65440,Tarbes,40 593,oui
Provence-Alpes-Côte d'Azur,13,201,13201,Marseille 1er Arrondissement,40 346,oui
Provence-Alpes-Côte d'Azur,83,050,83050,Draguignan,40 278,oui
Hauts-de-France,60,159,60159,Compiègne,40 200,oui
Martinique,972,213,972213,Le Lamentin,40 033,oui
Hauts-de-France,59,178,59178,Douai,39 989,oui
Île-de-France,78,551,78551,Saint-Germain-en-Laye,39 980,oui
Île-de-France,77,288,77288,Melun,39 914,oui
Pays de la Loire,44,143,44143,Rezé,39 649,oui
Île-de-France,93,032,93032,Gagny,39 603,oui
Île-de-France,93,072,93072,Stains,39 551,oui
Occitanie,30,007,30007,Alès,39 535,oui
Île-de-France,92,007,92007,Bagneux,39 487,oui
Hauts-de-France,59,378,59378,Marcq-en-Baroeul,39 298,oui
Centre-Val de Loire,28,085,28085,Chartres,38 875,oui
Occitanie,31,149,31149,Colomiers,38 801,oui
Nouvelle-Aquitaine,64,024,64024,Anglet,38 724,oui
Auvergne-Rhône-Alpes,38,421,38421,Saint-Martin-d'Hères,38 479,oui
Auvergne-Rhône-Alpes,26,198,26198,Montélimar,38 397,oui
Île-de-France,77,373,77373,Pontault-Combault,38 370,oui
La Réunion,974,410,974410,Saint-Benoît,37 940,oui
La Réunion,974,412,974412,Saint-Joseph,37 608,oui
Centre-Val de Loire,37,122,37122,Joué-lès-Tours,37 535,oui
Île-de-France,92,020,92020,Châtillon,37 159,oui
Île-de-France,78,498,78498,Poissy,37 093,oui
Auvergne-Rhône-Alpes,03,185,03185,Montluçon,36 946,oui
Île-de-France,75,108,75108,Paris 8e Arrondissement,36 694,oui
Auvergne-Rhône-Alpes,69,264,69264,Villefranche-sur-Saône,36 671,oui
Île-de-France,93,078,93078,Villepinte,36 514,oui
Île-de-France,91,589,91589,Savigny-sur-Orge,36 262,oui
Auvergne-Rhône-Alpes,69,384,69384,Lyon 4e Arrondissement,36 145,oui
Île-de-France,93,006,93006,Bagnolet,35 881,oui
Île-de-France,91,549,91549,Sainte-Geneviève-des-Bois,35 857,oui
Auvergne-Rhône-Alpes,38,151,38151,Échirolles,35 648,oui
Provence-Alpes-Côte d'Azur,13,028,13028,La Ciotat,35 580,oui
Hauts-de-France,60,175,60175,Creil,35 575,oui
Île-de-France,93,073,93073,Tremblay-en-France,35 381,oui
Provence-Alpes-Côte d'Azur,83,118,83118,Saint-Raphaël,35 296,oui
La Réunion,974,407,974407,Le Port,35 280,oui
Auvergne-Rhône-Alpes,74,012,74012,Annemasse,35 234,oui
Provence-Alpes-Côte d'Azur,13,207,13207,Marseille 7e Arrondissement,35 098,oui
Île-de-France,75,103,75103,Paris 3e Arrondissement,35 049,oui
Île-de-France,78,172,78172,Conflans-Sainte-Honorine,35 019,oui
Île-de-France,95,252,95252,Franconville,34 920,oui
Auvergne-Rhône-Alpes,74,281,74281,Thonon-les-Bains,34 895,oui
Auvergne-Rhône-Alpes,42,207,42207,Saint-Chamond,34 870,oui
Grand Est,67,180,67180,Haguenau,34 846,oui
Auvergne-Rhône-Alpes,42,187,42187,Roanne,34 831,oui
Île-de-France,93,050,93050,Neuilly-sur-Marne,34 763,oui
Bourgogne-Franche-Comté,89,024,89024,Auxerre,34 583,oui
Bourgogne-Franche-Comté,58,194,58194,Nevers,34 228,oui
Provence-Alpes-Côte d'Azur,13,117,13117,Vitrolles,34 089,oui
Nouvelle-Aquitaine,47,001,47001,Agen,33 988,oui
Île-de-France,94,058,94058,Le Perreux-sur-Marne,33 970,oui
Provence-Alpes-Côte d'Azur,13,054,13054,Marignane,33 929,oui
La Réunion,974,413,974413,Saint-Leu,33 701,oui
Auvergne-Rhône-Alpes,26,281,26281,Romans-sur-Isère,33 465,oui
Provence-Alpes-Côte d'Azur,83,129,83129,Six-Fours-les-Plages,33 339,oui
Île-de-France,92,019,92019,Châtenay-Malabry,33 330,oui
Bourgogne-Franche-Comté,71,270,71270,Mâcon,33 236,oui
Île-de-France,78,423,78423,Montigny-le-Bretonneux,33 123,oui
Île-de-France,91,477,91477,Palaiseau,33 114,oui
Hauts-de-France,59,122,59122,Cambrai,33 004,oui
La Réunion,974,418,974418,Sainte-Marie,32 940,oui
Auvergne-Rhône-Alpes,69,282,69282,Meyzieu,32 863,oui
Île-de-France,91,027,91027,Athis-Mons,32 792,oui
La Réunion,974,408,974408,La Possession,32 720,oui
Île-de-France,94,078,94078,Villeneuve-Saint-Georges,32 626,oui
Guyane,973,307,973307,Matoury,32 427,oui
Île-de-France,78,621,78621,Trappes,32 346,oui
Île-de-France,78,440,78440,Les Mureaux,32 048,oui
Île-de-France,78,311,78311,Houilles,31 981,oui
Grand Est,88,160,88160,Épinal,31 938,oui
Île-de-France,78,490,78490,Plaisir,31 857,oui
Nouvelle-Aquitaine,86,066,86066,Châtellerault,31 809,oui
Grand Est,67,447,67447,Schiltigheim,31 767,oui
Nouvelle-Aquitaine,33,550,33550,Villenave-d'Ornon,31 620,oui
Île-de-France,94,052,94052,Nogent-sur-Marne,31 550,oui
Hauts-de-France,62,510,62510,Liévin,31 237,oui
Guadeloupe,971,103,971103,Baie-Mahault,31 209,oui
Île-de-France,78,146,78146,Chatou,31 058,oui
Île-de-France,95,280,95280,Goussainville,31 025,oui
Centre-Val de Loire,28,134,28134,Dreux,30 836,oui
Île-de-France,91,687,91687,Viry-Châtillon,30 831,oui
Île-de-France,94,038,94038,L'Haÿ-les-Roses,30 736,oui
Île-de-France,91,657,91657,Vigneux-sur-Seine,30 728,oui
Île-de-France,94,018,94018,Charenton-le-Pont,30 722,oui
Nouvelle-Aquitaine,40,192,40192,Mont-de-Marsan,30 629,oui
Nouvelle-Aquitaine,33,449,33449,Saint-Médard-en-Jalles,30 547,oui
Île-de-France,95,500,95500,Pontoise,30 487,oui
Auvergne-Rhône-Alpes,69,382,69382,Lyon 2e Arrondissement,30 436,oui
Île-de-France,94,016,94016,Cachan,30 433,oui
Hauts-de-France,62,498,62498,Lens,30 413,oui
Auvergne-Rhône-Alpes,69,286,69286,Rillieux-la-Pape,30 375,oui
Île-de-France,77,445,77445,Savigny-le-Temple,30 260,oui
Hauts-de-France,59,392,59392,Maubeuge,30 100,oui
Île-de-France,93,014,93014,Clichy-sous-Bois,30 082,oui
Normandie,76,217,76217,Dieppe,29 965,oui
Grand Est,54,547,54547,Vandoeuvre-lès-Nancy,29 923,oui
Île-de-France,92,046,92046,Malakoff,29 897,oui
Île-de-France,93,077,93077,Villemomble,29 847,oui
Nouvelle-Aquitaine,24,322,24322,Périgueux,29 829,oui
Auvergne-Rhône-Alpes,73,008,73008,Aix-les-Bains,29 822,oui
Île-de-France,92,035,92035,La Garenne-Colombes,29 682,oui
Île-de-France,93,059,93059,Pierrefitte-sur-Seine,29 629,oui
Provence-Alpes-Côte d'Azur,84,087,84087,Orange,29 561,oui
Auvergne-Rhône-Alpes,69,381,69381,Lyon 1er Arrondissement,29 551,oui
Île-de-France,92,064,92064,Saint-Cloud,29 362,oui
Île-de-France,91,201,91201,Draveil,29 300,oui
Auvergne-Rhône-Alpes,38,544,38544,Vienne,29 162,oui
Normandie,76,681,76681,Sotteville-lès-Rouen,29 009,oui
Île-de-France,92,060,92060,Le Plessis-Robinson,28 974,oui
Île-de-France,94,073,94073,Thiais,28 942,oui
Île-de-France,91,691,91691,Yerres,28 921,oui
Provence-Alpes-Côte d'Azur,06,123,06123,Saint-Laurent-du-Var,28 919,oui
Île-de-France,95,219,95219,Ermont,28 832,oui
Provence-Alpes-Côte d'Azur,84,031,84031,Carpentras,28 699,oui
Île-de-France,95,063,95063,Bezons,28 674,oui
Île-de-France,78,158,78158,Le Chesnay,28 512,oui
Île-de-France,94,079,94079,Villiers-sur-Marne,28 511,oui
Normandie,76,575,76575,Saint-Étienne-du-Rouvray,28 468,oui
Île-de-France,91,286,91286,Grigny,28 424,oui
Hauts-de-France,02,722,02722,Soissons,28 410,oui
Île-de-France,95,306,95306,Herblay,28 341,oui
Provence-Alpes-Côte d'Azur,06,083,06083,Menton,28 231,oui
Île-de-France,92,009,92009,Bois-Colombes,28 043,oui
Île-de-France,92,075,92075,Vanves,27 806,oui
Île-de-France,78,297,78297,Guyancourt,27 801,oui
Île-de-France,91,521,91521,Ris-Orangis,27 797,oui
Île-de-France,95,680,95680,Villiers-le-Bel,27 564,oui
Hauts-de-France,59,328,59328,Lambersart,27 517,oui
Auvergne-Rhône-Alpes,38,053,38053,Bourgoin-Jallieu,27 502,oui
Pays de la Loire,49,328,49328,Saumur,27 486,oui
Nouvelle-Aquitaine,24,037,24037,Bergerac,27 419,oui
Auvergne-Rhône-Alpes,69,275,69275,Décines-Charpieu,27 362,oui
Nouvelle-Aquitaine,33,039,33039,Bègles,27 197,oui
Île-de-France,94,034,94034,Fresnes,27 154,oui
Île-de-France,75,104,75104,Paris 4e Arrondissement,27 146,oui
Guadeloupe,971,113,971113,Le Gosier,27 057,oui
Île-de-France,95,582,95582,Sannois,27 002,oui
Occitanie,34,003,34003,Agde,26 946,oui
Centre-Val de Loire,18,279,18279,Vierzon,26 919,oui
Provence-Alpes-Côte d'Azur,84,035,84035,Cavaillon,26 707,oui
Grand Est,67,218,67218,Illkirch-Graffenstaden,26 605,oui
Occitanie,31,557,31557,Tournefeuille,26 477,oui
Auvergne-Rhône-Alpes,69,149,69149,Oullins,26 428,oui
Hauts-de-France,62,427,62427,Hénin-Beaumont,26 379,oui
Pays de la Loire,44,190,44190,Saint-Sébastien-sur-Loire,26 371,oui
Île-de-France,77,058,77058,Bussy-Saint-Georges,26 346,oui
Île-de-France,94,071,94071,Sucy-en-Brie,26 264,oui
Île-de-France,77,514,77514,Villeparisis,26 255,oui
Guyane,973,304,973304,Kourou,26 221,oui
Île-de-France,91,103,91103,Brétigny-sur-Orge,26 215,oui
Île-de-France,95,277,95277,Gonesse,26 142,oui
Nouvelle-Aquitaine,33,529,33529,La Teste-de-Buch,26 110,oui
Île-de-France,91,114,91114,Brunoy,26 077,oui
Île-de-France,95,607,95607,Taverny,26 077,oui
Normandie,61,001,61001,Alençon,26 069,oui
Île-de-France,93,063,93063,Romainville,26 031,oui
Provence-Alpes-Côte d'Azur,06,155,06155,Vallauris,25 966,oui
Auvergne-Rhône-Alpes,15,014,15014,Aurillac,25 875,oui
Bourgogne-Franche-Comté,89,387,89387,Sens,25 784,oui
Île-de-France,93,047,93047,Montfermeil,25 725,oui
Normandie,76,322,76322,Le Grand-Quevilly,25 652,oui
Île-de-France,94,043,94043,Le Kremlin-Bicêtre,25 640,oui
Provence-Alpes-Côte d'Azur,13,063,13063,Miramas,25 639,oui
Île-de-France,94,044,94044,Limeil-Brévannes,25 639,oui
Pays de la Loire,44,114,44114,Orvault,25 634,oui
Pays de la Loire,49,301,49301,Sèvremoine,25 572,oui
Île-de-France,78,208,78208,Élancourt,25 504,oui
Île-de-France,78,517,78517,Rambouillet,25 456,oui
Hauts-de-France,02,408,02408,Laon,25 358,oui
Bourgogne-Franche-Comté,25,388,25388,Montbéliard,25 336,oui
Nouvelle-Aquitaine,17,415,17415,Saintes,25 288,oui
Occitanie,31,395,31395,Muret,25 264,oui
Nouvelle-Aquitaine,33,192,33192,Gradignan,25 241,oui
Grand Est,52,448,52448,Saint-Dizier,25 182,oui
Occitanie,34,145,34145,Lunel,25 178,oui
Auvergne-Rhône-Alpes,03,310,03310,Vichy,25 068,oui
Hauts-de-France,59,017,59017,Armentières,25 066,oui
Île-de-France,77,083,77083,Champs-sur-Marne,25 052,oui
Provence-Alpes-Côte d'Azur,83,062,83062,La Garde,25 047,oui
Hauts-de-France,62,119,62119,Béthune,24 995,oui
Nouvelle-Aquitaine,33,243,33243,Libourne,24 866,oui
Île-de-France,91,692,91692,Les Ulis,24 764,oui
Île-de-France,95,203,95203,Eaubonne,24 609,oui
Nouvelle-Aquitaine,33,119,33119,Cenon,24 547,oui
Provence-Alpes-Côte d'Azur,13,202,13202,Marseille 2e Arrondissement,24 508,oui
Île-de-France,95,572,95572,Saint-Ouen-l'Aumône,24 498,oui
Nouvelle-Aquitaine,64,122,64122,Biarritz,24 457,oui
Île-de-France,92,078,92078,Villeneuve-la-Garenne,24 433,oui
Guadeloupe,971,128,971128,Sainte-Anne,24 379,oui
Île-de-France,91,223,91223,Étampes,24 271,oui
Guadeloupe,971,118,971118,Petit-Bourg,24 086,oui
Nouvelle-Aquitaine,17,299,17299,Rochefort,24 045,oui
Guyane,973,309,973309,Remire-Montjoly,23 976,oui
Île-de-France,92,032,92032,Fontenay-aux-Roses,23 963,oui
Occitanie,12,202,12202,Rodez,23 949,oui
Normandie,27,681,27681,Vernon,23 797,oui
Occitanie,31,069,31069,Blagnac,23 759,oui
Île-de-France,91,421,91421,Montgeron,23 727,oui
Nouvelle-Aquitaine,33,069,33069,Le Bouscat,23 715,oui
Île-de-France,95,176,95176,Cormeilles-en-Parisis,23 661,oui
Hauts-de-France,59,271,59271,Grande-Synthe,23 634,oui
Île-de-France,77,468,77468,Torcy,23 558,oui
Bourgogne-Franche-Comté,39,198,39198,Dole,23 373,oui
Île-de-France,78,358,78358,Maisons-Laffitte,23 371,oui
Île-de-France,93,057,93057,Les Pavillons-sous-Bois,23 356,oui
Provence-Alpes-Côte d'Azur,83,144,83144,La Valette-du-Var,23 347,oui
Île-de-France,92,072,92072,Sèvres,23 332,oui
Hauts-de-France,80,001,80001,Abbeville,23 278,oui
Île-de-France,94,054,94054,Orly,23 272,oui
Grand Est,51,230,51230,Épernay,23 169,oui
Martinique,972,222,972222,Le Robert,23 139,oui
Pays de la Loire,44,215,44215,Vertou,23 124,oui
La Réunion,974,420,974420,Sainte-Suzanne,23 068,oui
Île-de-France,77,390,77390,Roissy-en-Brie,23 048,oui
Pays de la Loire,49,023,49023,Beaupréau-en-Mauges,22 965,oui
Île-de-France,93,045,93045,Les Lilas,22 964,oui
Nouvelle-Aquitaine,33,162,33162,Eysines,22 864,oui
Occitanie,34,108,34108,Frontignan,22 771,oui
Nouvelle-Aquitaine,47,323,47323,Villeneuve-sur-Lot,22 686,oui
Auvergne-Rhône-Alpes,38,169,38169,Fontaine,22 516,oui
Normandie,76,498,76498,Le Petit-Quevilly,22 511,oui
Normandie,14,327,14327,Hérouville-Saint-Clair,22 460,oui
Île-de-France,94,067,94067,Saint-Mandé,22 401,oui
Auvergne-Rhône-Alpes,01,283,01283,Oyonnax,22 392,oui
